port,ont,date,rx
0/1/0,1,2022-05-22,-16.882500000000004
0/1/0,1,2022-05-23,-16.872500000000006
0/1/0,1,2022-05-24,-16.876250000000002
0/1/0,1,2022-05-25,-16.691111111111113
0/1/0,1,2022-05-26,-16.67962962962963
0/1/0,1,2022-05-27,-16.67481481481482
0/1/0,1,2022-05-28,-16.68166666666667
0/1/0,1,2022-05-29,-16.676851851851854
0/1/0,1,2022-05-30,-16.684259259259257
0/1/0,1,2022-05-31,-16.682037037037034
0/1/0,1,2022-06-01,-16.65962962962963
0/1/0,1,2022-06-02,-16.662407407407407
0/1/0,1,2022-06-03,-16.675925925925927
0/1/0,1,2022-06-04,-16.659444444444446
0/1/0,1,2022-06-05,-16.635925925925932
0/1/0,1,2022-06-06,-16.665370370370372
0/1/0,1,2022-06-07,-16.894821428571426
0/1/0,1,2022-06-08,-16.86017857142857
0/1/0,1,2022-06-09,-16.866964285714282
0/1/0,1,2022-06-10,-16.850357142857142
0/1/0,1,2022-06-11,-16.83857142857143
0/1/0,1,2022-06-12,-16.798928571428572
0/1/0,1,2022-06-13,-16.766607142857147
0/1/0,1,2022-06-14,-16.777678571428574
0/1/0,1,2022-06-15,-16.77571428571428
0/1/0,1,2022-06-16,-16.79214285714286
0/1/0,1,2022-06-21,-16.787321428571435
0/1/0,1,2022-06-22,-16.768214285714286
0/1/0,1,2022-06-23,-16.76125
0/1/0,1,2022-06-24,-16.757857142857144
0/1/0,1,2022-06-25,-16.74946428571429
0/1/0,1,2022-06-26,-16.758571428571425
0/1/0,1,2022-06-27,-16.778571428571432
0/1/0,1,2022-06-28,-16.769107142857145
0/1/0,1,2022-06-29,-16.740714285714287
0/1/0,1,2022-06-30,-16.770714285714288
0/1/0,1,2022-07-01,-16.758928571428577
0/1/0,1,2022-07-02,-16.762678571428577
0/1/0,1,2022-07-03,-16.742142857142856
0/1/0,1,2022-07-04,-16.757321428571426
0/1/0,1,2022-07-05,-16.799285714285716
0/1/0,1,2022-07-06,-16.766785714285714
0/1/0,1,2022-07-07,-16.757678571428574
0/1/0,1,2022-07-08,-16.76178571428572
0/1/0,1,2022-07-09,-16.757500000000004
0/1/0,1,2022-07-10,-16.731607142857143
0/1/0,1,2022-07-11,-16.715535714285718
0/1/0,1,2022-07-12,-16.74196428571429
0/1/0,1,2022-07-13,-16.745178571428568
0/1/0,1,2022-07-14,-16.757321428571434
0/1/0,1,2022-07-15,-16.76
0/1/0,1,2022-07-16,-16.753571428571426
0/1/0,1,2022-07-17,-16.743214285714284
0/1/0,1,2022-07-18,-16.759285714285713
0/1/0,1,2022-07-19,-16.749999999999996
0/1/0,1,2022-07-20,-16.74339285714286
0/1/0,1,2022-07-21,-16.727321428571432
0/1/0,1,2022-07-22,-16.7275
0/1/0,1,2022-07-23,-16.72482142857143
0/1/0,1,2022-07-24,-16.808392857142856
0/1/0,1,2022-07-25,-16.75785714285714
0/1/0,1,2022-07-26,-16.72071428571429
0/1/0,1,2022-07-27,-16.72642857142857
0/1/0,1,2022-07-28,-16.733928571428574
0/1/0,1,2022-07-29,-16.71339285714286
0/1/0,1,2022-07-30,-16.717857142857145
0/1/0,1,2022-07-31,-16.79267857142857
0/1/0,1,2022-08-01,-16.758571428571432
0/1/0,1,2022-08-02,-16.726964285714285
0/1/0,1,2022-08-03,-16.735178571428573
0/1/0,1,2022-08-04,-16.723035714285718
0/1/0,1,2022-08-05,-16.744821428571427
0/1/0,1,2022-08-06,-16.72071428571429
0/1/0,1,2022-08-07,-16.729821428571427
0/1/0,1,2022-08-08,-16.719107142857144
0/1/0,1,2022-08-09,-16.73160714285714
0/1/0,1,2022-08-10,-16.744285714285716
0/1/0,1,2022-08-11,-16.7225
0/1/0,1,2022-08-12,-16.711607142857144
0/1/0,1,2022-08-13,-16.734107142857145
0/1/0,1,2022-08-14,-16.740892857142857
0/1/0,1,2022-08-15,-16.716249999999995
0/1/0,1,2022-08-16,-16.729642857142856
0/1/0,1,2022-08-17,-16.713571428571427
0/1/0,1,2022-08-18,-16.716964285714287
0/1/0,1,2022-08-19,-16.74053571428572
0/1/0,1,2022-08-20,-16.72696428571429
0/1/0,1,2022-08-21,-16.727321428571425
0/1/0,1,2022-08-22,-16.73964285714286
0/1/0,1,2022-08-23,-16.731964285714287
0/1/0,1,2022-08-24,-16.729285714285716
0/1/0,1,2022-08-25,-16.726428571428574
0/1/0,1,2022-08-26,-16.741071428571434
0/1/0,1,2022-08-28,-16.72
0/1/0,1,2022-08-29,-16.725357142857142
0/1/0,1,2022-08-30,-16.728571428571424
0/1/0,1,2022-08-31,-16.728392857142858
0/1/0,1,2022-09-01,-16.716428571428573
0/1/0,1,2022-09-02,-16.71875
0/1/0,1,2022-09-03,-16.73
0/1/0,1,2022-09-04,-16.73125
0/1/0,1,2022-09-05,-16.73732142857143
0/1/0,1,2022-09-06,-16.741071428571427
0/1/0,1,2022-09-13,-16.714821428571426
0/1/0,1,2022-09-14,-16.739464285714284
0/1/0,1,2022-09-28,-17.026785714285715
0/1/0,1,2022-09-29,-17.040892857142858
0/1/0,1,2022-09-30,-17.048214285714284
0/1/0,1,2022-10-02,-17.06053571428572
0/1/0,1,2022-10-03,-17.041964285714283
0/1/0,1,2022-10-05,-17.045357142857146
0/1/0,1,2022-10-07,-17.01982142857143
0/1/0,1,2022-10-09,-17.03357142857143
0/1/0,1,2022-10-15,-17.050892857142856
0/1/0,1,2023-02-27,-17.0375
0/1/0,1,2023-03-01,-17.036250000000003
0/1/0,1,2023-03-02,-17.02607142857143
0/1/0,1,2023-03-03,-17.028750000000002
0/1/0,1,2023-03-04,-17.021964285714297
0/1/0,1,2023-03-14,-17.0275
0/1/0,1,2023-03-15,-17.016607142857143
0/1/0,1,2023-03-16,-17.02089285714286
0/1/0,1,2023-03-17,-17.019821428571426
0/1/0,1,2023-03-18,-17.017142857142858
0/1/0,1,2023-03-19,-17.011071428571423
0/1/0,1,2023-03-20,-17.007678571428567
0/1/0,1,2023-03-21,-17.03571428571429
0/1/0,1,2023-03-22,-17.021071428571425
0/1/0,1,2023-03-24,-17.008571428571425
0/1/0,1,2023-03-25,-17.038392857142856
0/1/0,1,2023-03-26,-17.044107142857147
0/1/0,1,2023-03-27,-17.032321428571425
0/1/0,1,2023-03-28,-17.036249999999995
0/1/0,1,2023-03-29,-17.020714285714284
0/1/0,1,2023-03-30,-17.014821428571427
